,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
801,"Shenzhen LEDMY Co., Ltd","Room 1503-1505 Block 2, Excellence City, Zhongkang Road",Shenzhen,518000,+86 75527658410,China,newproduct@ledmy.com,"Founded in 2009, Shenzhen LEDMY CO.,Ltd has become a comprehensive LED company with the combination of R&D, manufacturing...","['Led strip light', 'Neon light', 'Led lighting', 'Lighting solutions', 'Linear lighting']",,www.ledmy.com,8.0,N41
802,LED NER Sas,Avenue Gay Lussac 15,Carnoux en Provence,13470,+33 442700207,France,contact@led-ner.com,"Founded in 2008, LED NER specializes in the design and manufacture of high performance LED lighting.Recognized and adopted...","['museum lighting', 'retail lighting', 'miniature spotlight', 'jewelry lighting', 'architectural lighting']",,www.led-ner.com,4.1,H31
803,Ledolux Poland Sp. z o.o.,ul. Innowacyjna 1,Glogow Malopolski,36-060,+48 177412200,Poland,info@ledolux.pl,"Ledolux Poland is proffessional OEM/ODM​ LED lighting manufactorer located in Poland, Europe. Ledolux manufactory focus on...","['led modules', 'street led lighting', 'led lighting manufacturer', 'industrial led lighting', 'DOB drivers']",,www.ledolux.pl,4.1,E30
804,Ledova Aydinlatma Sanayi ve Ticaret A.S.,Merkez Mah. Seckin Sok. DAP Ofis Vadisi,Istanbul (Europe),34406,+90 5546255243,Türkiye,vedat.celik@ledova.com.tr,"	LEDOVA Lighting is an OVA Group company specializing in the design, manufacture and sale of indoor and outdoor lighting...","['OVA', 'LED', 'LEDO', 'LEDOVA', 'OVALED']",,,3.0,G30
805,LED-POL Sp. z o.o. Sp.k.,Ul. Kustronia 40,Bielsko-Biała,43-300,+48 576056400,Poland,export1@led-pol.pl,"We are a manufacturer of energy saving LED lighting. Our offer includes LED lamps, luminaires, strips and accessories to...","['LED LIGHTING', 'INDUSTRIAL LIGHTING', 'OUTDOOR LUMINAIRES', 'LED STRIPS', 'LED PANELS']",,,4.1,F80
806,LEDtec GmbH,Abelbachstraße 13,Büren,33142,+49 295193838300,Germany,info@ledtec.eu,"Individual lighting solutions - High-quality lighting systemsOver the years, our passion for light has made us experts in...","['LED-L&ouml;sungen', 'LED-Streifen', 'Lichtl&ouml;sungen', 'LED-Leuchten', 'Fassadenbeleuchtung']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012241511/RGB_JPG_LEDtec.jpg,www.ledtec.eu,3.0,E41
807,Ledture Inc.,"17301 West Colfax Avenue, Suite #412",Golden,CO 80401,,United States,,,[],,,4.0,A74
808,LEDVANCE GmbH,Parkring 29-33,Garching,85748,+49 89780673100,Germany,contact@ledvance.com,"With offices in more than 50 countries and business activities in more than 140 countries, LEDVANCE is one of the world’s...","['Light Management System Lichtmanagementsystem', 'LED lamps LED-Lampen', 'Electronical Components  Elektronische Komponenten', 'LED Luminaires LED-Leuchten', 'Connected Lighting Systems  Vernetzte Beleuchtungssysteme']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009000.jpg,www.ledvance.com,3.0,D10
809,LED VISION d.o.o. Lukavac,Branilaca Bosne bb,Lukavac,75300,+387 61965319,Bosnia and Herzegovina,,,[],,,4.0,B75
810,Ledworks srl,Via Tortona 37,Milano MI,20144,+39 3493139462,Italy,roberta.franchin@twinkly.com,"Smart lighting brand Twinkly was created by Ledworks, a leading Italian tech company founded in 2016 by a small group around...","['Smart home', 'Smart Lights', 'Light', 'Pro Lights', 'Decorative Lights']",,www.twinkly.com,6.0,B68
811,Ledxon GmbH,Gutenbergstr. 1,Geisenhausen,84144,+49 87197515150,Germany,info@ledxon.de,"	Your light is our highlight	Light is quick, effective and dynamic – as are we. ledxon is an international company that develops...","['Lichtmanagement', 'Retail Lighting', 'Lichtkonzept', 'LED-Beleuchtung', 'K&uuml;hlm&ouml;belbeleuchtung']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012247040/RGB_JPG_LEDXON.jpg,www.ledxon.de,4.1,H30
812,Leedarson IoT Technology Inc.,"No. 1511, Fanghu North No. 2 Road, Huli District",Xiamen,361006,+86 5923699963,China,enquiry@leedarson.com,LEEDARSON IoT Technology Inc. is a provider of IoT products and solutions with emphasis laid on the field of smart life and...,"['IoT', 'Lighting', 'Smart Living']",,www.leedarson.com,4.1,B65
813,"Xiamen Leedarson Lighting Co., Ltd.","5/F, No. 1511, No. 2 Fanghu (N) Rd., Huli District",Xiamen,361009,+86 5923798027,China,penn@leedarson.com,,[],,,8.0,D70
814,Legrand GmbH,Am Silberg 14,Soest,59494,+49 29211040,Germany,info.service@legrand.de,"Legrand - Building technology in perfection Founded in 1860 in Limoges, the company is today regarded worldwide as a specialist...","['Smart Home', 'Hausautomation', 'Hauskommunikation ', 'Schalterprogramm', 'Kabelverlegetechnik']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010072910/RGB_JPG_LEGRAND.jpg,www.legrand.de,11.1,A86
815,Lehner Leuchten Manufaktur GmbH,Schmidmühlener Straße 55,Burglengenfeld,93133,+49 9471602650,Germany,vertrieb@lehner.de,"Experienced manufacturer of Urban/Street lighting working with lighting designers and architectsLatest technology, constantly...","['Technische Leuchten', 'Historische Leuchten', 'Smart Lighting', 'Dekorative Leuchten', 'Umr&uuml;sts&auml;tze']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015055255/RGB_JPG_Lehner.jpg,http://www.lehner.de/,4.1,G74
816,G. Adolf Lemp &amp; Co. GmbH,Ludwigstrasse 39,Remscheid,42853,+49 219149400,Germany,albuzlu@galemp.de,	Lemp. Certainly value work.		Your partner for insulated tools for working on live parts up to 1000 V and supplier of a variety...,"['Werkzeug', 'Kabelmontage', 'Montagewerkzeug', 'Leuchten', 'Elektrotechnische Ger&auml;te']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009115.jpg,www.galemp.de,12.1,B61
817,LENCE Technologie GmbH,Ampèrestr. 7-11,Langen,63225,+49 61038706550,Germany,lp.yin@lence-tech.com,"	In 2012, LENCE Technologie GmbH was founded as an independent company in Germany to offer innovative LED products. Thanks...","['LED Einbaustrahler', 'LED High Bay', 'LED Treiber', 'LED Feuchtraumleuchte', 'LED Panel']",,www.lence-tech.com,3.0,G18
818,Lenorad GmbH,Logumer Straße 43,Emden,26723,+49 49219089245,Germany,info@lenorad.de,,[],,www.lenorad.de,4.1,A15
819,Leuk Solutions Unipessoal Lda.,Travessa Industrial 106/114,Barcelos - Vila Frescainha S. Pedro,4750-841,+351 253816433,Portugal,luis.pereira@leuk.pt,"	LEUK develops LED lighting solutions, designed to be an essential part of each space.	We align aesthetics, function, quality...","['Lighting', 'Manufacture', 'Design', 'Leuk', 'Portugal']",,www.leuk.pt,3.0,D29
820,"Guangdong Lianhao Science &amp; Technology Lighting Co., Ltd.","1F, 2F, 3F, 4F, 5F-2, 6F, Building A, No. 10 Fuqing 5th Rd., Yongxing Industrial Zone Henglan Town",Zhongshan,528478,+86 76088756800,China,Jonathan@lianhaoled.cn,,[],,www.lianhaoled.cn,8.0,N84
821,LICHT CUBE OHG,Kölner Str. 101,Köln,50859,+49 2234948649,Germany,,Unsere Inhouse Designer Yener und Tolga Gündug entwickeln mit viel Herzblut und Leidenschaft nach Ihrer optimalen Vorstellung...,"['Leuchten', 'Sonderleuchten', 'moving light', 'Dekorative Leuchten', 'Designleuchte']",,www.licht-cube.de,3.1,E42
822,licht.de - eine Brancheninitiative des ZVEI e. V.,Lyoner Str. 9,Frankfurt am Main,60528,+49 696302353,Germany,licht.de@zvei.org,"licht.de – your contact for all questions relating to lightingNew trends in office or domestic lighting, lighting management...","['Betriebsger&auml;te', 'Au&szlig;enleuchten', 'Lichtplanung', 'Lichtquellen', 'Innenleuchten']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015045871/RGB_JPG_LICHT.jpg,www.licht.de,3.0,C71
823,Lichtvision Engineering GmbH,Fritschestrasse 27/28,Berlin,10585,+49 3021289118,Germany,y_he@outlook.com,"	Lichtvision Engineering is the partner for anyone involved in lighting, interface technology and building automation.	Our...","['Interoperability', 'Certification', 'DALI', 'Connectivity']",,www.lichtvision-engineering.com,8.0,J68
824,lichtvoll GmbH,Konsumstr. 45,Wuppertal,42285,,Germany,,Wir machen Licht erlebbar. Wir sind die lichtvoll GmbH. Als junges deutsches Unternehmen haben wir mit über 10 Jahren Branchenerfahrung...,"['LED-Driver', 'Elektronischer Schalter']",,,4.1,K16
825,LIFA innovative Lichtsysteme GmbH,Schuckertstr. 33,Münster,48153,+49 25120070070,Germany,info@lifa.de,"Die Lifa – innovative Lichtsysteme GmbH ist Teil der Möhle Unternehmensgruppe, welche auf 60 Jahre Erfahrung in der Lichtbranche...","['Leuchtmittel', 'Tauschbar', 'Nachhaltig', 'Sockel', 'Gr6d']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015053199/1663597953340_lifalogo.jpg,www.lifa.de,4.1,E48
826,"Lifud Technology Co., Ltd.","Building B, Kutto Industrial Park, No. 26 Xinhe Road, Xinqiao Street, Bao'An District",Shenzhen,518104,+86 75583739299,China,sales@lifud.com,"Lifud Technology Co., Ltd.Since 2007, when Lifud was established, Lifud team has been sticking to the value concept of “integrity...",[],,www.lifud.com,8.0,D70
827,Lightcycle Retourlogistik und Service GmbH,Elsenheimerstr. 55a,München,80687,+49 8945246690,Germany,info@lightcycle.de,	Lightcycle is a non-profit organisation of leading lighting producers in order to organise the nationwide collection of...,"['ElektroG', 'Recycling', 'R&uuml;cknahme', 'Leuchten', 'Altlampen']",,www.lightcycle.de,9.1,C29
828,Lighten Corp.,"Zhongli District No. 7-1, Lane 10, Sec. 2, Zhongfu Road",Taoyuan City,32057,+886 34636558,Taiwan,,	LIGHTEN CORP. based on professional COB LED to integrate in manufacturing and selling.	Due to the business objectives of...,"['Logo Lighting', 'COB LED', 'Photography Lighting', 'Stage Lighting', 'Studio lighting']",,,8.0,L75A
829,Light Energy Saving Sweden AB,Vassgatan 3 H,Göteborg,415 02,+46 707758009,Sweden,pino@lightab.se,,[],,www.lightab.se,4.1,A39
830,Lightenjin II - Ind&uacute;stria de Iluminacao Lda.,Parque Empresarial do Casarao,Aguada de Cima,3750-041,+351 234080117,Portugal,geral@lightenjin.pt,"Lightenjin, Lda is a Portuguese company based in the city of Águeda, which is dedicated to the development and manufacture...","['Street Lighting', 'Transport Lighting', 'Hospital Lighting', 'Office Lighting', 'Stores and large retail Lighting']",,www.lightenjin.pt,3.0,C50
831,Lighting Line UAB,V. Nageviciaus g. 3,Vilnius,08237,+370 52559408,Lithuania,info@lightingline.eu,Lighting Line is a company backed by years of experience in the lighting sector specializing in the design and supply of...,"['Lighting systems', 'Main lighting', 'Decorative lighting', 'for LED strips', 'Aluminium profiles']",,www.lightingline.eu,8.0,G02
832,"Lighting Story So., Ltd.","30, Wonhapgang 1-gil, Yeondong-myeon",Sejong-Si,30067,+82 448666377,"Korea, the Republic of (South)",,"We `Lighting Story` were founded in 1994we speciallize in developing, selling and manufacturing, named `SMART AI streetlight...","['Smart Pole', 'Media Pole', 'Black Box', 'Korea', 'Street Lighting']",,,4.1,H60D
833,"Lighting Technologies TRQ, S.L.","Avda. Pio XII, 38",Vinaròs (Castellón),12500,+34 964401024,Spain,marg@trqsl.com,"LIGHTING TECHNOLOGIES TRQ, S.L. was founded in 1972.Today TRQ is one of the leading companies, in the national market and...","['Emergency Lighting', 'LED', 'TRQ', 'Manufacturer Spain', 'Emergency kit']",,www.trqsl.com,4.1,D60
834,Lightnet GmbH,Zollstockgürtel 65,Köln,50969,+49 22122252676,Germany,info@lightnet.de,Lightnet is a specialist in professional building illumination. More than 350 members of staff at 5 locations pursue the...,"['LED', 'Leuchten', 'Lampen', 'professionelle Geb&auml;udebeleuchtung', 'Lightnet']",,www.lightnet.de,3.1,D50
835,LIGHT-POINT A/S,Gronnegade 3,Copenhagen K,1107,+45 70255525,Denmark,info@light-point.com,"Founded in 1995, LIGHT-POINT designs, produces and distributes innovative lighting products with an ultra modern, distinctly...","['Lighting design', 'Modern lighting', 'Decorative lighting', 'Indoor &amp; Outdoor lighting', 'Danish design']",,www.light-point.com,3.1,C11
836,S. Lilley &amp; Son Ltd.,Alcester Street 80,Birmingham,B12 0QE,+44 1216222385,Great Britain and Northern Ireland,sales@s-lilley.co.uk,S Lilley & Son Limited have been trading since the 1840's when we produced components for the then expanding railway industry...,"['Lampholders', 'Lighting Accessories', 'American Wiring products', 'lighting components', 'LED Components']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015012650/RGB_JPG_Lilley.jpg,www.s-lilley.co.uk,8.0,J20
837,Linea Light Group,"Via Della Fornace, 59 z.i.",Castelminio di Resana,31023,+39 0423/7868,Italy,info@linealight.com,Imagine a company capable of creating lighting design solutions that are completely tailor-made for your projects. A revolutionary...,"['decorative lighting', 'architectural lighting', 'professional lighting', 'interior lighting', 'outdoor lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011058213/RGB_JPG_LINEALIGHT.jpg,www.linealight.com,3.1,F41
838,Linergy S.r.l.,Via de Gasperi 9,Acquaviva Picena,63075,+39 07355974,Italy,info@linergy.it,LINERGY has a project structure independently in the continuous search for design solutions for the development of new products...,[],,www.linergy.it,4.1,A90
839,Lingg &amp; Janke OHG,Zeppelinstr. 30,Radolfzell am Bodensee,78315,+49 77329455750,Germany,h.lingg@lingg-janke.de,,[],,www.lingg-janke.de,12.1,A15
840,"Ningbo Linkyours Electronics Co., Ltd.","Dongqian Lake Tourist Resort, 9 Xizhao Road",Ningbo,315000,+86 57482807535,China,jack@clinkyours.com,"Ningbo Linkyours Electronics Co. , Ltd was founded in 2004 as Ningbo Shida Tooling and Injection, and originally focused...","['Smart socket', 'Smart plug', 'Smart home', 'WIFI socket', 'Smart switch']",,www.clinkyours.com,8.0,N85
841,LINNE PAYSAGE,5 Avenue de l'Opéra,Paris,75001,,France,contact@linnepaysage.com,LINNÉ INTERFACING FOR TOMORROW CITY - BOTANICAL LIGHTING CONCEPT CULTIVATING BIODIVERSITYIn line with Major Ecological requirements...,"['Biodiversity', 'Ecology', 'Sustainable', 'Innovation', 'plants']",,www.linnepaysage.com,4.0,B94
842,Liquidleds Lighting Corp.,"Suite A2, 9F, No. 333, Sec. 2, Dunhua S. Rd., Da-An District",Taipei,10669,+886 227365151,Taiwan,info@liquidleds.com.tw,"Liquidleds designs, manufactures and distributes cutting-edge LED lighting systems, with a focus on the research and development...","['LED Bulbs', 'Beam Light Bulbs', 'LED Soft Filament Bulbs', 'LED Filament Bulbs', 'Jellyfish Bulbs']",,www.liquidleds.com,8.0,K20D
843,Liralighting Sp.zo.o.,Ul. Saperów 4,Elblag,82-300,+48 556255402,Poland,info@liralighting.pl,"The company was founded in 1983 when we started professional designing, manufacturing and delivering lighting equipment to...","['Technical Interior Lighting', 'Lighting Systems', 'Lighting Control Systems', 'Professional Lighting for Museums', 'Exterior Lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052453264/1663674662774_liralight_logo.png,www.liralighting.pl,3.0,B70
844,"Lisantech Co., Ltd.","28 Gasan digital 1-ro, Geumcheon-gu Rm 1108 STX-V-Tower Bldg.",Seoul,08507,+82 28371885,"Korea, the Republic of (South)",jkh7370@lisantech.com," “Communicate with Light” The specialist in smart LED light control system, LISANTECH guides you to the smart light, smart...","['PLC', 'CONTROLLER', 'DIMMING', 'CONVERTER', 'SMART']",,,4.1,K30
845,Litegear GmbH,An Fürthenrode 45,Geilenkirchen,52511,+49 2451484530,Germany,juergen.hutmacher@litegear.de,"	Litegear was established in 1991 in Geilenkirchen, located in the west of Germany, close to the Netherlands and Belgium...","['Feuchtraumleuchten', 'Sicherheitsleuchten', 'Notleuchten', 'Hallenstrahler', 'Lichtlinien']",,http://litegear.de,4.1,B71
846,Deutsche Lichttechnische Gesellschaft e.V. (LiTG),Danneckerstraße 16,Berlin,10245,+49 3026012439,Germany,thomas.munz@litg.de,Deutsche Lichttechnische Gesellschaft e.V. (LiTG) Die LiTG geht zurück auf die 1912 in Berlin gegründete Deutsche Beleuchtungstechnische...,"['Lichttechnik', 'Lichtdesign', 'Lichtplanung', 'Lighting Design']",,www.litg.de,3.1,A31
847,Lival OY AB,Lukkarinmäentie 1,Sipoo,04130,+358 9235511,Finland,lival@lival.com,"Made in Finland – but why?We at Lival take great pride in inventing, designing and manufacturing our products in Finland...","['Track spot', 'Adapter Driver', 'Downlight', 'Pendant', 'Track']",,www.lival.com,3.1,E41
848,lixtec GmbH,Reininghausstraße 13,Graz,8020,+43 31658693990,Austria,info@lixtec.com,"The necessity of saving energy is self-evident in daily life. However, this idea is a novelty regarding roads: tens of thousands...","['Radar Sensorik', 'Zhaga D4i', 'Smart Lighting', 'Light on demand', 'Dynamisches Licht']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015055848/RGB_JPG_LIXTEC.jpg,https://www.lixtec.com,8.0,D78
849,Ljusdesign by Gobo A/S,Rudolfgardsvej 1D,Viby J,8260,+45 70221966,Denmark,sales@ljusdesign.lighting,For more than 30 years Ljusdesign has supplied high quality display lighting for exhibition purposes.The LED fixtures and...,"['Lighting', 'Exhibition lighting', 'Showcase lighting', 'Beleuchtung', 'Vitrinenbeleuchtung']",,www.ljusdesign.lighting,4.1,E72
850,"LLC Lighting (Jiangmen) Co., Ltd.","Building 1, No. 3 Oushan Road, Jiangnan",Jiangmen,529000,+86 7503811229,China,mansfieldsun@163.com,"LLC Lighting Co., LTD is located in the Pearl River Delta, with 38,000 square meters areas, sets up many workshops such as...","['Commercial lighting', 'Spotlight', 'Track light', 'Wall Washer', 'LED Lamp']",,www.arc-licht.com/en,8.0,N42
851,llll,Bensbergstraat 2,Tielt-Winge,3390,+32 473491258,Belgium,info@llll.be,llll light.illusive cast in shape.The process and result is like that of dipping a wire frame into a soap solution; a minimal...,"['organic', 'sculptural', ' fabric', 'led light', 'hand made']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012547428/RGB_JPG_Dehandschutter.jpg,www.llll.be,3.1,D25
852,LMT Leuchten + Metall Technik GmbH,Dieselstraße 5,Hilpoltstein,91161,+49 9174 4797 0,Germany,info@lmtgmbh.de,"Light and form in perfection. LMT Leuchten + Metall Technik GmbH – for more than three decades, our name has stood for highest...","['project illumination', 'architectural lighting', 'Projektleuchten', 'Architekturbeleuchtung', 'custom luminaires']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011057574/RGB_JPG_LMT.jpg,www.lmtgmbh.de,4.1,E10
853,loblicht GmbH &amp; Co. KG,Zum Möhnewehr 9,Arnsberg-Neheim,59755,+49 2932 9784-0,Germany,info@loblicht.de,loblicht GmbH & Co. KG has been operating as a subsidiary of the HTP Group since 2020.We create sophisticated luminaires...,"['Profilleuchten Lichtsysteme B&uuml;roraumleuchten Lichtlinien', 'Leuchten Lichtoptik Lichtkanal Wallwasher ', 'Profile Einbauleuchten Anbauleuchte Pendelleuchten Downlights Stehleuchten', 'Licht Architektur B&uuml;ro Arbeitsplatz Flurbeleuchtung Prim&auml;r Sekund&auml;r', 'LED Licht Strahler Fl&auml;chenlicht asymmetrisch symmetrisch homogen']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052381792/RGB_JPG_LOBLICHT.jpg,,4.1,G73
854,Locher &amp; Christ GmbH,Oberessendorfer Straße 11,Winterstettenstadt,88456,+49 735593150,Germany,info@lc-top.de,Die Locher & Christ GmbH ist mit LC-TOP deutschlandweit einer der bekanntesten Softwarehersteller in der SHK- und Elektobranche.Von...,"['Handwerkerprogramm', 'Software', 'Zeiterfassung', 'Kalkulationsprogramm', 'Rechnungsprogramm']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011019139/RGB_JPG_LCTOP.jpg,www.lc-top.de,9.0,C20
855,"Ningbo Longer Lighting Co., Ltd.","No. 299, Zongan Highway, Zonghan Sub-District",Cixi,315301,+86 57463200281,China,lg5@howlonger.com,Longer lighting is a professional LED lighting manufacturer in the China with 10 year experiences and active in 60 countries...,"['LONGER', 'HOWLONGER', 'LED LIGHTING', 'TRI-PROOF', 'CEILING']",,www.longerlighting.com,8.0,K71
856,LongLife LED GmbH by HK,Adolf-Meyer-Str. 5,Neuenhaus,49828,+49 59412029960,Germany,info@longlife-led.de,"LongLife LED GmbH is a manufacturer, importer as well as wholesaler and retailer of LED lighting, smarthome products and...","['LED', 'Leuchten', 'Lampen', 'Smart-Home', 'Smart Home']",,www.longlife-led.de,6.0,B60
857,"Shenzhen Long Sun Optoelectronics Technology Co., Ltd","Room 304, Block B, Building 7 Shenzhen International Innovation Valley, NanShan Dist.",Shenzhen,518055,+86 75586369100,China,ways@longsun-led.com,"Found in 2008, Shenzhen Long Sun Optoelectronics Technology Co., Ltd has been focusing on industrial and commercial led lighting...","['Led grow light  ', 'Led high bay light ', 'Led flood light', 'Led street light', 'Led canopy light']",,www.longsun-led.com,8.0,M89
858,LonMark International,111 Deerwood Rd Ste 200,San Ramon,94583,+31 681566033,United States,info@lonmark.org,An open interoperable revolution is underway in the controls industry and one organization is taking the lead in helping...,[],https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011032025/1658746077071_LonMark.jpg,www.lonmark.org,GAL.0,A04
859,LOVELEDNEON.DE,Belohorská 2336/243,Prague,169 00,+420 226226069,Czech Republic,neon@loveledneon.de,Wir strahlen jeden Raum auf. Einzelfertigung von LED-Neons.,"['lighting', 'beleuchtung', 'dekoration', 'interieur', 'bilder']",,www.loveledneon.de,4.1,J41
860,LOYTEC electronics GmbH,Blumengasse 35,Wien,1170,+43 140208050,Austria,info@loytec.com,"LOYTEC, your source for room control, lighting control and building management solutions! Founded in 1999, LOYTEC electronics...","['L-WEB Geb&auml;udeautomation / Building Automation', 'L-DALI Lichtl&ouml;sungen / Lighting Control', 'L-PAD &amp; L-VIS Touch Panels', 'L-ROC Raumautomation / Room Automation', 'Geb&auml;udeautomation &amp; IoT / BMS ']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011058851/RGB_JPG_Loytec.jpg,www.loytec.com,9.0,D30
861,Lozi Company Ltd.,39 Geumgang-ro 1845 Beongil,Namyangju,12018,+82 15886105,"Korea, the Republic of (South)",lozi8869@gmail.com,Lozi Company Ltd. is a Korean company specialized in sports lighting.It satisfies all lighting requirements from large stadium...,"['floodlight', 'RGBW light', 'IoT featured lighting control', 'lighting control hardware', 'sports lighting']",,www.lozi.co.kr,4.0,C82
862,"L-STAR Lighting Co., Ltd.","No. 159, Shunyu West Road, Yangming Street",Yuyao,315400,+86 57462207988,China,info@l-starlight.com,"Ningbo L-STAR Lighting Co., Ltd. is an integrated enterprise which specializes in developing, producing and selling LED lighting...","['MODULE', 'GARDEN LAMP', 'STREET LAMP', 'HIGHBAY LAMP', 'L STAR LIGHTING']",,www.l-starlight.com,8.0,K30
863,Ltech LED B.V.,Valschermkade 27,Amsterdam,1059 CD,,Netherlands,,"LTECH is one of the worldwide top manufacturers of LED control technology. In our 20+ years of existence, we have gained...","['Drivers', 'LED controllers', 'DMX decoder', 'DALI', 'T-PWM']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052396512/RGB_JPG_LTECH.jpg,,8.0,F30
864,"LTI Optics, LLC","10850 Dover St., Suite 300",Westminster,80021,+1 7208910030,United States,photopia@ltioptics.com,"LTI Optics has provided optical design software and optical design consulting services for over 30 years. Our software, Photopia...","['Software', 'Photopia', 'Optical Design Software', 'Optics']",,www.ltioptics.com,8.0,J32
865,LUCE 5 S.R.L.,Via Fratelli Alinari 9-11,Montevarchi,52025,+39 0559850138,Italy,incoronata.d@luce5.it,"We support lighting designers, architects and our clients in the development of customized lighting projects. Our expertise...","['Custom lighting projects  Prototypes CNC LED circuits', 'For Architects &amp; Designers For Lighting Designers For Contractors, Engineers &amp; System integrators For Visionary Minds', 'Project management', 'Chandeliers Showcases Decorative lamps Integrated furniture Lighting', 'Frameless Recessed Surface Mounted Inground']",,https://www.luce5.it/,3.1,B31
866,Rete di Imprese Luce Veneto,Via dei Marcello 13/11,Piombino Dese,35017,+39 0499350457,Italy,info@luceinveneto.com,"Luce in Veneto is a network of more than 45 SMEs operating in the lighting sector, based mainly in the Veneto Region, able...","['Networking', 'Sustainable Living', 'Lighting', 'Smart Lighting', 'Home Automation']",,www.luceinveneto.com,4.1,FOY17
867,Lucide NV,Bisschoppenhoflaan 145,Deurne,2100,+32 33662204,Belgium,deutschland@lucide.com,	Since our humble beginnings in 1992 we became one of the leading distributors in the residential lighting market in the...,"['Lucide', 'Belgian Design', 'Light', 'Lighting', 'Lamps']",,www.lucide.be,6.0,B61
868,L&uuml;bbering Abrollsysteme e.K.,Industriestr. 4,Herzebrock-Clarholz,33442,+49 52458309374,Germany,baxhenrich@luebbering.de,"Quality that lasts - since 1978.As a family-owned company for over 90 years now, we operate with strong roots in our region...","['Ringabwickler', 'Roll Profi', 'Kabelabroller', 'Gro&szlig;abroller', 'L&uuml;bbering']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010627170/RGB_JPG_RollProfi.jpg,www.rollprofi.de,12.1,B03
869,L&Uuml;TH &amp; D&Uuml;MCHEN Automatisierungsprojekt GmbH,Borkumstr. 2,Berlin,13189,+49 3029022090,Germany,info@lueth-duemchen.de,"Digital transformation is our missionWe are your partner for access, time and security Founded in 1990 in Berlin, LÜTH & DÜMCHEN...","['Zeiterfassung', 'Zutrittskontrolle', 'Personaleinsatzplanung', 'Workforce', 'Access']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052392048/RGB_JPG_Lueth.jpg,www.lueth-duemchen.de,8.0,D80
870,LumenRadio AB,Johan Willins gata 6,Göteborg,416 68,+46 7218694 72,Sweden,jens.markebjer@lumenradio.com,LumenRadios wireless mesh technology is a perfect fit for everything from small room light control to building wide control...,"['wireless mesh technology', 'Lumen Radio', 'IoT', 'outdoor lighting control', 'wireless DALI']",,www.lumenradio.com,8.0,B70
871,Lumine LED AB,Östanvindsgatan 1,Karlstad,652 21,+46 54876430,Sweden,hamid@lumine.se,,[],,www.lumine.se,4.1,A29
872,Luminext B.V.,Schoudermantel 37,Bunnik,3981 AE,,Netherlands,info@luminext.eu,	Luminext Smart Lighting 	Manage & Control Connected Street Lighting	The smart lighting technologies from Luminext ensure...,"['smart city', 'telemanagement software', 'smart lighting for public space', 'light controller']",,www.luminext.eu,8.0,G75
873,"Luminus Devices, Inc",1145 Sonora Ct.,Sunnyvale,94086,+31 624945252,United States,rdejonge@luminus.com,Luminus develops and markets solid-state lighting solutions (SSL) to help its customers migrate from conventional lamp technologies...,"['CoB LEDs', 'Mid Power LEDs', 'UV LEDs', 'IR LEDs', 'Illumination LEDs']",,www.luminus.com,8.0,C10
874,Lumi Parts B.V.,Nijverheidsweg 2,Nieuwkoop,2421 LR,+31 172574500,Netherlands,marketing@lumiparts.nl,"Since Since 1985, our organisation has revolved around lighting and providing our customers with the best advice and high...","['Retail', ' Utility', 'Hospitality', 'OEM', 'Led linear']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012236778/RGB_JPG_LUMIPARTS.jpg,www.lumiparts.nl,3.0,F41
875,Lumi Team,Ul. Warszawska 2 e,Kamienica Polska,42-260,+48 343261255,Poland,info@lumiteam.eu,"We are a European manufacturer of high quality LED fittings for industrial, sport and street application.Our luminaires are...","['industrial', 'street', 'sport', 'petrol', 'foundry']",,https://lumiteam.eu/,4.1,H18
